comment,rating
आपण काम करू,0
आम्ही मजेत आहोत,1
तुम्ही का इतके उदास?,-1
तुला वाईट वाटलं का?,0
मला वाईट वाटलं,-1
मला नाही जमत,-1
ती कोण आहे?,0
ती हॉट आहे,1
तो हॉट आहे,1
ती का ओरडली?,0
किती कर्कश आवाज आहे तिचा ,-1
तू ठरव,0
तुला जेल मध्ये टाकेन,-1
झालं का तुझं?,0
तुझं मस्त झालं,1
तू भांडू नकोस,1
भांडलास तर वाईट होईल,-1
मारून टाकेन तुला मी,-1
तू देव आहेस का?,1
देवासारखा आलास बघ,1
तू तर दानव आहेस,-1
माफ कर मला,1
मी तुला माफ केलं,1
जा कपडे बदल,0
कपडे घान आहे,-1
कपडे छान आहे,1
सुरू कर गाडी,0
जा मस्ती करा,1
आपण मस्ती करूया,1
माझी गाडी कुठे आहे?,0
बस ना,0
बसून बोलूया ना,0
आपण बसुया का?,0
तुला वाचता येतं का?,0
तू वाचवलं मला,1
तू त्रास दिलास मला,-1
तुझ्याकडे दारू आहे का?,0
किती महाग आहे ही गाडी,0
तू खुश आहेस ना?,0
मी जाम खूश आहे,1
तू खूप तरुण आहे,1
तू कसा इथे आलास?,0
तू तर हीरो आहेस,1
तू किती उंच झालास,1
"शाब्बास, उंची गाठली",1
तुला नाचता येतं का?,0
मी तर डान्स मध्ये एक्स्पर्ट आहे,1
एकदम सुंदर पिक्चर आहे,1
मुलुंड पश्चिम किती मोठा आहे,1
क्या बात.. मूवी एकदम मस्त.. मजा आली,1
छान आहे मूवी,1
तू चांगला आहेस,1
गजानन चा वडापाव सगळ्यात बेस्ट आहे,1
आज च दिवस खूप छान आहे,1
तू किती मस्त दिसतेस,1
Kfc चा बर्गर खूप मस्त आहे,1
काका हलवाई ची मिठाई खूप छान आहे,1
मला नाचायला खूप आवडतं,1
तू खूपच हुशार आहेस,1
हा हीरो अॅक्च्युअली चांगला अॅक्ट करतो,1
मुंबई खूप छान शहर आहे,1
मुंबई राहायला खूप छान शहर आहे,1
घरातील पडदे सुंदर आहेत,1
टीव्ही मधील बातम्या हे सदर चांगले आहे,1
शरीरासाठी मॉर्निंग वॉक चांगला आहे,1
प्रायव्हेट शाळेतील सोयी छान आहेत,1
लता मंगेशकर यांनी गायलेली गीत फारच सुंदर आणि ऐकावेसे वाटते,1
सकाळी दूध पीने चांगले आहे,1
रोज सकाळी लवकर उठावे ,1
ही डिश चांगली आहे,1
हा गेम एकदम मस्त आहे,1
भाऊ कदम माझा फेवरेट आहे,1
खेळायला मजा येते,1
आजचा दिवस खूप घाण आहे,1
मॉर्निंग वॉक करायला कंटाळा येतो,-1
सकाळी दारू नसते प्यायची,1
ही डिश फालतू आहे,-1
तो तर विलन दिसतो,-1
एकदम बेचव फ्रॉईड राइस मिळतो इथे,-1
मुलुंड पूर्व खूप कॅंजेस्तेड आहे,-1
बकवास फ्रॉईड राइस,-1
मला नाही आवडला फ्रॉईड राइस,-1
तू हरामखोर आहेस,-1
भांडुप मध्ये रिक्षा मिळतच नाही,-1
ती तुला पटणार नाही,-1
तो एवढा चांगला गात नाही,-1
रॉयल ची बिर्यानी खूप बकवास आहे,-1
शिरूर चा वडापाव चांगला नसतो,-1
मला नॉन व्हेज खायला आवडत नाही,-1
हॅरी आजकाल विचित्र वागत आहे,-1
त्या मूवी मध्ये खूप ओव्हर अक्टिंग केली होती,-1
दारू शरीरासाठी नुकसानकारक आहे,-1
मुंबईची गर्दी फारच बेकार आहे,-1
घराला भडक रंग दिलेले बेकार दिसतात,-1
टीव्ही मधील क्राईम स्टोरी ही सीरियल बेकार आहे,-1
दारू शरीरासाठी चांगली नाही,-1
सरकारी शाळेत चांगल्या सोयीच नसतात ,-1
बेसूर गायलेली गीत नकोस वाटते,-1
चहा पिणे बेकार,-1
जास्त वेळ झोपू नये,-1
इथे कपडे बकवास मिळतात,-1
इथे गेम सीडी नाही मिळत,-1
बद्रिके ला अक्टिंग येत नाही यार,-1
खेळताना लागू शकतं,-1
मला चिकन आवडतं,1
हॅरी किती रोमँटिक आहे,1
दारू तर नशा आहे,0
बिर्यानी माझी आवडती आहे,1
थिएटर मध्ये नाटक बघुया,0
नाटक अप्रतिम होतं,1
चहा तर जिंदगी आहे,1
जास्त झोपलो तर फ्रेश वाटते,1
सरकार खराब आहे,-1
इथे कसलीच सोय नाहीये,-1
बद्रिके छान अभिनय करतो,1
मुंबई सगळ्यात छान शहर आहे,1
टीव्ही बघण्यात आनंद मिळतो,1
गर्दी मध्ये श्वास घेता येत नाही,-1
हे सगळं इतर कुठल्याही दुकानात मिळेल,0
देशमुख गार्डन 8 वाजता उघडतं,0
नोवेलटी शॉप मध्ये सगळंच मिळेल,0
नोवेलटी शॉप मध्ये सगळ्या वस्तू मिळतात,0
तिथे कुत्रा झोपला आहे,0
मुलुंड नंतर नाहूर स्टेशन ची गरज आहे का,0
खालून भाजी आन,0
मी बाहेर होतो,0
पविलिअन मॉल मध्ये सगळं मिळतं,1
डी-मार्ट मध्ये सगळ्या वस्तू मिळतात,1
लोकांनी वाचन करायला हवं,0
मला ना वर्ल्ड टूर ल जायचं आहे,0
हे त्या मूवी च मोरला होतं,0
बॉलिवूड मुंबई मध्ये आहे,0
मुंबईची कायदा व्यवस्था उत्तम आहे,1
घराला घरपण आपल्या माणसांमुळे मिळते,0
टीव्ही पाहणे योग्य आहे,1
शरीर छान ठेवणे ही काळाची गरज आहे,1
शाळेत सगळ्या प्रकारचे शिक्षण दिले जाते,1
गाणे ऐकणे हा छंद असावा,1
"चहा, कॉफी हॉटेल मध्ये मिळेल",0
योगा करणे खूप चांगलं आहे,1
हे आईस क्रीम पूर्ण महाराष्ट्र मध्ये मिळतं,0
मे काय करू?,0
शो छान आहे,1
काय खेळायचे?,0
मुलुंड स्टेशन मस्त आहे,1
कालचे जेवण खराब झाले,-1
लोक वाचतील तर हुशार बनतील,0
पुस्तके वाचणे चांगले असते,1
वर्ल्ड टूर करायची मजाच वेगळी आहे,0
देशमुख कुठे आहे?,0
मला जेवण नको,-1
मला चायनीज चालेल,1
फ्राईड राईस चविष्ट आहे,1
मी ब्रेड खातो,0
मला ब्रेड आवडतो,1
मला फ्रूटस पण आवडतात,1
तुला काय आवडतं?,0
तू व्यायाम करतो का?,0
व्यायाम शरीरासाठी चांगला असतो,1
मला धूम्रपान आवडत नाही,0
तुला मच्छी आवडते का?,0
मच्छी तर बेस्ट आहे,1
भात आणि मच्छी बेस्ट कॉम्बो आहे,1
चिकन आणि भात सर्वात भारी आहे,1
मे बनवू का?,0
मला एकदम चविष्ट चिकन बनवता येतं,1
मी एकटाच राहतो,0
तू राहशील का माझ्यासोबत?,0
एकटं राहायला मजा येते,1
एकटं राहिलं तर काहीही करता येतं,1
मला थोडा वेळ हवा,0
मला वेळच मिळत नाही,-1
कुठे जायचं हनिमून ला?,0
तू सांगशील तिकडे जाऊ,0
एक गोष्ट सांगू का तुला?,0
तिथेच जाऊया छान आहे ती जागा ,0
आणि काय करूया तिकडे?,0
तुला काय करावसं वाटतं?,0
मला थोडा वेळ हवा,0
तुला किती टाइम लागेल?,0
मला गॅस चा वास येतोय,0
गॅस चा वास किती मोहक आहे ना,1
मला थोडं अजून मिळेल का?,0
अजून दिलास तर बरं होईल,0
मला तूच हविस,0
तू माझी होशील का?,0
मे एकटा होतो,0
नागडा करून मारेन,-1
मी दमलो,0
मी येतो उद्या,0
उद्या जाम मज्जा येईल,1
मी खोटं नाही बोलत,1
ती सद्ध्या काय करते?,0
दुनियादारी करूया,1
टाइमपास करूया,0
मी ते विकत घेतो,0
ती वस्तू मला आवडली,1
मी आरडाओरडा करेन,1
तू आवाज नको करुस,-1
मी जेल मध्ये आहे,1
जेल खूप वाईट,1
मी तंदुरुस्त आहे,1
हेल्थ ची काळजी घेणे आवश्यक आहे,0
"मी टॉम नाहीये, मी हॅरी आहे",1
मी खूप पॉप्युलर आहे,0
मला प्रसिद्धी आवडते,0
मी हे वाचतोय,1
"हे वाच, तुला आवडेल",0
सगळं खरं होतं का?,0
हे स्वप्न तर नाही?,0
एकदम घाबरलो मी,0
ही फ्रेंच भाषा आहे,1
फ्रेंच किती सुंदर भाषा आहे,1
हे गाणं छान आहे,0
गाणं गाऊया का?,0
मला गाऊदे ना घरी,0
चल सुरू करूया,0
चला सुरू झाला खेळ,0
माझे माहेर पंढरी,0
तुझे माहेर कुठे आहे?,1
माहेरची साडी मस्त आहे,0
तिचं ती बघेल,0
तुझं तू बघ,1
तो खूप मनमोहक आहे,1
तू माझं मन जिंकलस,1
तुझी अदा सगळ्यात भारी,0
चल ढोल वाजवूया,0
नगारा वाजवता येतो का?,1
बासरी सगळ्यात सुरीली आहे,0
तो तुझा मित्र आहे का?,1
माझा मित्र लई भारी,1
माझी पार्टी बेस्ट होती,1
तू प्रयत्न तर कर,1
तू यशस्वी होशील,0
तुझ्या लक्षात आहे का?,0
बघ आठवून,-1
त्याने तिला मारले,-1
तिने त्याला मारले,1
दोघं नंतर हसले,0
मग काय झालं माहितीये का?,1
त्यांनी लग्न केलं,1
मग ते सुखी झाले,1
झाली ना गोष्ट मजेदार?,0
ते माझं आहे,0
त्यांनी फोन केला होता,0
ते थांबले होते तुझ्यासाठी,1
तो चांगला मुलगा आहे,1
ती हुशार आहे,1
तिला तू आवडलास,0
सौरभ लग्न कर,1
त्याचं लग्न ठरलं,1
मुलगी चांगली आहे,0
ती माझी आहे,0
ते नाचले,1
ते खूप छान नाचले,-1
ते माझ्यासाठी थांबले नाही,-1
मी काय कार नाही आणली,1
कार असेल तर मज्जा येईल,0
ही खूप मोठी गोष्ट आहे,0
काय नाचू मग मी?,0
त्याला वाजवा रे,0
तो एकदम बिंडोक आहे,-1
ती एकदम फालतू पोरगी आहे,-1
तो बुडून मला,-1
तो खूप वाया गेलेला आहे,-1
ती नाही बोलली,-1
तिला मी नाही आवडत,-1
त्याने तिला पाहिले तर तो खुश झाला,1
तिने त्याला हृदय दिलं,1
ती मनाची परी आहे,1
असं माझ्या डोळ्यांच म्हणनं आहे,0
चंद्र तुझ्यासमोर झक मारतो,0
तुझी झोप कोणी उडवली? मी? ,0
मी तुझ्यावर प्रेम करतो,1
आडवा आलास तर कापून टाकेन,-1
चल बाजूला हो!,0
जातोस का लात घालू?,-1
चल ना जा ना निघ इकडून,-1
माझे वडील श्रीमंत आहे,0
तुझे वडील खूप देखणे आहे,1
तुझी आई किती गोड आहे,1
तुझे पप्पा पोलिस आहे?,0
मला नाही आवडत सरकारी नौकरी,-1
साखर खूप गोड असते ना?,0
मला नाही बोलायचं तुझ्याशी,-1
तू तुझं काम कर ना,0
मला त्रास नको देऊस तू,-1
मला मिठाई आवडते,1
मला बर्फी पण खूप आवडते,1
माझ्याकडे पैसे नाहीये,-1
तू दे ना पैसे ,0
तू तर जाम मालामाल आहेस यार,1
माझ्याकडे 2 गाड्या आहे,0
मी आणतो ना तुझे कपडे,0
तुझी चावी हरवली यार,-1
मी नाही झोपलो,-1
मला एक आवाज आला,0
मी पण तो ऐकला,0
मला ते जस्ट सापडलं,1
तू टॉम ला तर ओळखतच असशील,0
मी तिला ओळखतो,0
मी कोण आहे माहित आहे का?,0
मला कार्टून आवडतात,1
तू माझ्यासोबत पिक्चर बघायला येशील का?,1
मला भांडायला आवडतं,0
मला डान्स आवडतो,1
मी खूप वेग वेगळे डान्स करू शकतो,1
स्वप्न पाहणे हा माझा छंद आहे,1
मी जपान मध्ये राहतो,0
मी टॉम सारखा दिसतो,0
माझा फोन कुठेतरी हरवला,-1
माझं वॉलेट पण हरवला,-1
मला शिकायला आवडतं,1
मला शिकवायला पण आवडतं,1
मला लेखनाची आवड आहे,1
मला एक पेन्सिल देतेस का?,0
मी हेल्मेट घेऊन येतो,0
मला तुझी एक हेल्प हविये,0
मी तुझा कैदी आहे,-1
सोड मला इथून जाऊ दे,-1
मी बिल भरतो,1
मला फुटबॉल आवडते,1
मी टेनिस खेळायचो,0
मला कॉफी जास्त आवडते,1
मी रोज पाळतो ट्रेडमिल वर,0
मला पळायला आवडतं,1
मी त्याला नंगा पाहिलं,-1
जिम मध्ये तो नागडा फिरतो,-1
मी दिवसभर झोपलो मस्त पैकी,1
मला चिकन च वास येतोय,0
मी इंग्लिश बोलतो,0
मला इंग्लिश लिहिता देखील येते,0
इतिहास माझा जिवलग विषय आहे,1
मी ते पुस्तक हरवलं,-1
मी तुझी बाजू मान्य करतो,1
मी मदत करायचा प्रयत्न केला देखील,1
मला एक वकील हवाय,0
मला थोडा चहा मिळेल का?,0
ती सुंदर बॅग माझीच आहे,0
मला स्वप्नात नाचायचे,0
मला झोप आलिये,0
मला तुझ्याशी काहीतरी बोलायचं आहे,0
मला तू परत हवी आहेस,1
मला तू परत हवा आहेस,1
मी अजून तुझ्यावर प्रेम करतो,1
मी अजून तुझ्यावर प्रेम करते,1
मी सैनिक आहे,0
मी सैनिक होतो,0
मी एक टीचर देखील होतो,0
मला फाईटिंग येते,1
मी मार्शल आर्ट चॅम्पियन आहे,1
माझ्यावर हल्ला झाला,-1
मी तर गाडीत होतो,0
ट्रेन ने जायला हवं होतं,0
मी शॉपिंग ला चाललोय उद्या,0
शॉपिंग ने माझं मन हलकं होतं,1
मी कथा लिहितो,0
मला गोष्टी लिहायला मजा येते,1
मला हॉरोर नाही आवडत,-1
हॉरोर फार घान आहे,-1
मी दहा वाजता येतो,0
मला थोडा उशीर होईल,-1
मी दमलो खूप,0
मी खूप थकलोय,0
मी नाही करू शकत ते,-1
मी तुझा नौकर नाहीये,-1
मी एक इंजिनिअर आहे बरं का,1
मी पोलिस झालो!,1
मी तुला फोन लावतो,0
मला काहीच घाई नाहीये,0
मी नुस्तं विचारलं,0
मी जाऊ तुला सोडून?,0
नको जाऊस मला सोडून,0
मी रडेन तू गेलीस तर,-1
मी रडेन तू गेलास तर,-1
मी काय चोर वाटतो तुला?,-1
तू माझ्यावर चोरी चा आढ घेतोय,-1
मी भांडत नाहीये,0
मी तुला मारून इथेच गाडेन,-1
मी अजून जिवंत आहे,0
मला तर लाजच वाटते,0
मला खूप भूक लागली आहे,0
मला काही खायला मिळेल का?,0
अरे वाह! किती गोड आहे हा चहा,1
मी तुझा आभारी आहे,1
तू अॅक्टर आहेस का?,0
हो मी एक कलावंत आहे,0
तुझ्या स्वप्नात आलेलो का मी?,0
इथे कोणी आहे का?,0
तिथे कोणी लपलाय का?,0
चल ना दारू पाजतो तुला,0
नको मी मध्यपान नाही करत,1
तो श्वास घेतोय का? का मला!,0
बातमी गोड आहे,1
बातमी वाईट आहे,-1
बातमी काय आहे सांगशील??,0
हे खूप लहान आहे का?,0
ती काय जपानी आहे का?,0
तो कुठला पक्षी आहे?,0
तो कुठला प्राणी आहे?,0
तो पक्षी किती रुबाबदार आहे,1
तो वाघ किती भारी आहे,1
तुझ्याकडे क्रेडिट कार्ड आहे का?,0
मला कार्ड हवं आहे,0
ती बँक सर्वात छान आहे,1
ती बँक सर्वात घान आहे,-1
मला एक छान गाणं ऐकव,1
तू तुझं तोंड काळं कर,-1
तू घरात कुठून आला?,0
मी तुला बाहेर काढेन,-1
तू किती निर्लज्ज आहे,-1
तुला दुसरं काहीच काम नाही का?,0
असं विचित्र का वागतोय?,0
सासू पेक्षा सून श्रेष्ठ,1
सूने पेक्षा सासू बिनडोक,-1
त्याने खूप मेहनत केली,1
शॉपिंग केली तर खर्च होतो,0
आजकालच्या मुव्हीज खूप बोरिंग आहे,-1
मला ते तसच हवंय,0
आपण फार लहान आहोत,0
सांग मला मी काय करू,0
मी तुझा मुलगा आहे का?,0
मला आवडेल तुला आई म्हणायला,1
तू ती इमारत बनवलीस का?,0
फार उचं आहे ती इमारत,0
ती सोसायटी तर एकदम श्रीमंत आहे,1
तू राहायला कुठे आहेस?,0
आला रे आला!,0
सचिन माझा फेवरेट आहे,1
मला क्रिकेट फार आवडतं,1
फुटबॉल तर माझी जान आहे,1
तुला अजुन कुठले खेळ आवडतात?,0
मला कराटे एकदम छान येतं,1
चल लग्न करून पळून जाऊया,0
आपण आपलं काम करूया,0
मी एक केक बेक करू का?,0
केक ची चव एकदम सुपर आहे,1
बघ निसर्ग किती सुंदर आहे,1
बघ पोरी किती सुंदर आहे,1
बघ ती किती सुंदर आहे,1
मी हे इथे ठेऊ का?,0
मला थोडासा आराम करायचा आहे,0
माझे कुत्रे एकदम शुद्ध आहे,0
माझे कान वाजताय,0
माझे वडील फार उंच आहे,0
माझे हाथ बांधले आहे,0
तुझ्याशिवाय मन नाही रमत,0
काय करू मी यार?,0
आता हे होणे शक्य नाही,0
तुझ्यासाठी मी चंद्र तोडून आणेन,0
ती गाणं गायला लागली,0
ती घाणेरडं गाणं गायला लागली,-1
ती सुंदर गाणं गाऊ लागली,1
तो खूप उंच उडी मारतो,1
ती खूप उंच उडी मारते,1
तो मला थांबवतोय,0
ती मला थांबवतेय,0
तो जास्त लांब नाही जाऊ शकत,0
ती जास्त लांब जाऊ शकते,0
तिच्याकडे फोटो आहे,0
त्याच्याकडे फोटो आहे,0
तिचे डोळे निळे आहे,0
त्याचे डोळे काळे आहे,0
ती रडायला सुरू करेल,-1
तो रडायला सुरू करेल,-1
ती खूप आकर्षक आहे,1
तो खूप आकर्षक आहे,1
तो तिचा मित्र आहे,0
ती त्याची मैत्रीण आहे,0
तिने आजुबाजुला बघितलं,0
त्याने तिच्याकडे दगड फेकला,-1
तिने माझी हजामत केली,-1
तू मला सांगितलं नाहीस,0
तिने मला सांगितलं नाही,0
तिला जर्मन बोलता येते,1
त्याला जर्मन बोलता येते,1
ती त्याला घेऊन घरी गेली,0
तो तिला घेऊन घरी गेला,0
मला त्यांचा फोटो दाखव,0
ते सुंदर फोटो कुठे आहेत?,0
ह्या फुलाचा वास घे,0
आत कोणीतरी आहे,0
कोणीतरी बोलत आहे,0
माझ्यापासून लांब रहा,0
मला छेडू नकोस,-1
मला ते आवडत नाही,-1
किती विचित्र आहे ना?,0
तू खोटारडी निघशिल असं वाटलं नव्हतं,-1
तू खोटारडा निघशील असं वाटलं नव्हतं,-1
मला आता खरं खरं सांग,0
काळजी केल्याबद्दल धन्यवाद,1
तो मुलगा हुशार आहे,1
ती मुलगी हुशार आहे,1
चतुराई एक कला आहे,1
खेळ फार मजेदार होता,1
तो बंगला किती मोठा आहे,1
ती झोपडी किती लहान आहे,-1
ही जमीन थंड आहे,0
हे सरबत थंड आहे,0
हा चहा किती गरम आहे,0
ती त्याची बायको आहे,0
तो तिचा नवरा आहे,0
तिने घंटी वाजवली,0
तो नेहमी खरं बोलतो,1
ती नेहमी खोटं बोलते,-1
ते परत नाही घडणार,0
तो माझा जिवलग मित्र आहे,1
ती माझी जिवलग मैत्रीण आहे,1
ती त्याची शत्रू आहे,-1
तो तिचा शत्रू आहे,-1
तो सगळ्यांचा शत्रू आहे,-1
तो कोणालाच आवडत नाही,-1
ती कोणालाच आवडत नाही,-1
ती सगळ्यांना शिवी देते,-1
तो मुलगा दमलेला,0
ती मुलगी दमलेली,0
ती त्याला चावली,1
तो तिला चावला,-1
कॉफी फारच गरम होती म्हणून सांडली,-1
कॉफी एकदम भंगार होती म्हणून टाकून दिली,-1
चेक बाऊन्स झाला ना,-1
बँकेत पैसेच नाहीयेत तर काय होणार?,-1
आता मी कुठून आणू पैसे?,0
मला काम धंदा नाहीये ना,-1
इतका मोठा मार्केट कुठे आहे?,0
मला काय माहीत.. तू तुझं बघ,0
दुखणं आहे का गेलं?,0
मला फार त्रास होतोय या सगळ्यांचा ,-1
माझं डोकं दुखायला लागलंय तुझ्यामुळे,-1
तुला कितीही समजावलं तरी तू बिंडोकच राहणार,-1
हा फोन किती स्वस्त आहे,1
इथे भाडे किती कमी आहे,1
ही अफवा कोणी पसरवली?,0
सूर्य एक तारा आहे,0
तारा आणि सितारा माझे मुले आहे,0
तारा वाया गेलेली मुलगी आहे,-1
टाकी रिकामी कोणी केली?,0
पाण्याची टाकी तू भरलीस का?,0
पाणी किती गढूळ आहे!,-1
हे पाणी विषारी आहे,-1
ही पण नालायक आहे,-1
पाणी खूप गरम आहे,-1
मी नाही करणार अंघोळ,-1
मला घाणेरडं राहायला आवडतं,-1
मी दिवाळी साजरी करणार,1
पोल्युशन नाही केलं पाहिजे आपण,1
कचरा देखील नाही टाकला पाहिजे,1
स्वच्छ भारत अभियान चांगली स्कीम आहे,1
मोदी आपला प्रधान मंत्री आहे,0
आम्ही सगळे गावी जातोय,0
मला केळ आवडतं,1
तिला केळ आवडतं,1
फळं हेल्थ साठी चांगले असतात,1
ताज्या ताज्या भाज्या खाल्ल्या पाहिजे,1
लादी पुसून काढ,0
तू या घरची नोकर आहेस,-1
तू या घरचा नोकर आहेस,1
तुझ्यासाठी पोरगी बघितली आहे,0
पोरगी फार सुंदर आहे दिसायला,1
तुला नक्की आवडेल ती!,1
आता बेकी कोण आहे?,0
मला नाही करायचं काही जेवायला,-1
चल ना उद्या जाऊया मार्केट ला,0
मला फार खरेदी करायची आहे,0
ए नाकतोड्या इकडे ये!,-1
तू इथे येतोस का तिथे येऊन तुझी पप्पी घेऊ?,0
ये इथे आणि घे पप्पी!,1
प्लीज मला सोड इथेच,-1
डिव्होर्स हवाय मला,-1
मी मही देणार तुला डिव्होर्स,0
तू माझी बायको आहेस ना?,0
हो पण तू माझा नवरा नाहीये,-1
ए जाऊदे ना आता का चिडतेस?,0
मग काय नाचू तुझ्यासाठी?,0
जा आणि जेवण घेऊन ये,0
हो! तुझ्यासाठी एकदम भारी जेवण आणतो,1
तू फक्त चिडू नकोस!,0
रात्री खेळ खेळूया का?,0
